Team_Id,Team_Name,KenPom,HSTeam,X,X.1
1210,Georgia Tech,Georgia Tech,Georgia Institute of Technology,NA,
1211,Gonzaga,Gonzaga,Gonzaga,NA,
1211,Gonzaga,Gonzaga,Gonzaga University,NA,
1212,Grambling,Grambling St.,Grambling,NA,
1213,Grand Canyon,Grand Canyon,Grand Canyon,NA,
1214,Hampton,Hampton,Hampton,NA,
1215,Hardin-Simmons,Hardin-Simmons,Hardin-Simmons,NA,
1216,Hartford,Hartford,Hartford,NA,
1217,Harvard,Harvard,Harvard,NA,
1218,Hawaii,Hawaii,Hawaii,NA,
1219,High Point,High Point,High Point,NA,
1220,Hofstra,Hofstra,Hofstra,NA,
1221,Holy Cross,Holy Cross,Holy Cross,NA,
1222,Houston,Houston,Houston,NA,
1222,Houston,Houston,University of Houston,NA,
1223,Houston Bap,Houston Baptist,Houston Baptist,NA,
1224,Howard,Howard,Howard,NA,
1225,Idaho,Idaho,Idaho,NA,
1226,Idaho St,Idaho St.,Idaho St.,NA,
1227,IL Chicago,Illinois Chicago,Illinois-Chicago,NA,
1228,Illinois,Illinois,Illinois,NA,
1228,Illinois,Illinois,University of Illinois at Urbana-Champaign,NA,
1229,Illinois St,Illinois St.,Illinois State,NA,
1230,Incarnate Word,Incarnate Word,Incarnate Word,NA,
1231,Indiana,Indiana,Indiana,NA,
1231,Indiana,Indiana,Indiana University,NA,
1232,Indiana St,Indiana St.,Indiana St.,NA,
1233,Iona,Iona,Iona,NA,
1234,Iowa,Iowa,Iowa,NA,
1234,Iowa,Iowa,University of Iowa,NA,
1235,Iowa St,Iowa St.,Iowa State University,NA,
1235,Iowa St,Iowa St,Iowa State,NA,
1236,IPFW,IPFW,IPFW,NA,
1237,IUPUI,IUPUI,IUPUI,NA,
1238,Jackson St,Jackson St.,Jackson St.,NA,
1239,Jacksonville,Jacksonville,Jacksonville,NA,
1240,Jacksonville St,Jacksonville St.,Jacksonville State,NA,
1241,James Madison,James Madison,James Madison,NA,
1242,Kansas,Kansas,Kansas,NA,
1242,Kansas,Kansas,University of Kansas,NA,
1243,Kansas St,Kansas St.,Kansas State University,NA,
1243,Kansas St,Kansas St,Kansas State,NA,
1244,Kennesaw,Kennesaw St.,Kennesaw St.,NA,
1245,Kent,Kent St.,Kent State,NA,
1246,Kentucky,Kentucky,Kentucky,NA,
1246,Kentucky,Kentucky,University of Kentucky,NA,
1247,La Salle,La Salle,La Salle,NA,
1247,La Salle,La Salle,La Salle University,NA,
1248,Lafayette,Lafayette,Louisiana-Lafayette,NA,
1249,Lamar,Lamar,Lamar,NA,
1250,Lehigh,Lehigh,Lehigh,NA,
1251,Liberty,Liberty,Liberty,NA,
1252,Lipscomb,Lipscomb,Lipscomb,NA,
1253,Long Beach St,Long Beach St.,Long Beach State,NA,
1254,Long Island,LIU Brooklyn,LIU Brooklyn,NA,
1255,Longwood,Longwood,Longwood,NA,
1256,Louisiana Tech,Louisiana Tech,Louisiana Tech,NA,
1256,Louisiana Tech,Louisiana Tech,Louisiana Tech University,NA,
1257,Louisville,Louisville,Louisville,NA,
1257,Louisville,Louisville,University of Louisville,NA,
1258,Loy Marymount,Loyola Marymount,Loyola Marymount,NA,
1259,Loyola MD,Loyola MD,Loyola (MD),NA,
1260,Loyola-Chicago,Loyola Chicago,Loyola (IL),NA,
1261,LSU,LSU,Louisiana State University,NA,
1261,LSU,LSU,Louisiana State,NA,
1262,MA Lowell,UMass Lowell,UMass Lowell,NA,
1263,Maine,Maine,Maine,NA,
1264,Manhattan,Manhattan,Manhattan,NA,
1265,Marist,Marist,Marist,NA,
1266,Marquette,Marquette,Marquette,NA,
1266,Marquette,Marquette,Marquette University,NA,
1267,Marshall,Marshall,Marshall,NA,
1268,Maryland,Maryland,Maryland,NA,
1268,Maryland,Maryland,University of Maryland,NA,
1269,Massachusetts,Massachusetts,Massachusetts,NA,
1269,Massachusetts,Massachusetts,University of Massachusetts Amherst,NA,
1270,McNeese St,McNeese St.,McNeese St.,NA,
1271,MD E Shore,Maryland Eastern Shore,Maryland Eastern Shore,NA,
1272,Memphis,Memphis,Memphis,NA,
1272,Memphis,Memphis,University of Memphis,NA,
1273,Mercer,Mercer,Mercer,NA,
1274,Miami FL,Miami FL,Miami (FL),NA,
1274,Miami FL,Miami FL,University of Miami,NA,
1275,Miami OH,Miami OH,Miami OH,NA,
1276,Michigan,Michigan,Michigan,NA,
1276,Michigan,Michigan,University of Michigan,NA,
1277,Michigan St,Michigan St.,Michigan State University,NA,
1277,Michigan St,Michigan St,Michigan State,NA,
1278,Minnesota,Minnesota,Minnesota,NA,
1278,Minnesota,Minnesota,University of Minnesota,NA,
1279,Mississippi,Mississippi,Mississippi,NA,
1279,Mississippi,Mississippi,University of Mississippi,NA,
1280,Mississippi St,Mississippi St.,Mississippi State University,NA,
1280,Mississippi St,Mississippi St,Mississippi State,NA,
1281,Missouri,Missouri,Missouri,NA,
1281,Missouri,Missouri,University of Missouri,NA,
1282,Missouri KC,UMKC,UMKC,NA,
1283,Missouri St,Missouri St.,Missouri State,NA,
1283,Missouri St,Southwest Missouri St.,Southwest Missouri St.,NA,
1284,Monmouth NJ,Monmouth,Monmouth,NA,
1285,Montana,Montana,Montana,NA,
1286,Montana St,Montana St.,Montana St.,NA,
1287,Morehead St,Morehead St.,Morehead St.,NA,
1288,Morgan St,Morgan St.,Morgan State,NA,
1289,Morris Brown,Morris Brown,Morris Brown,NA,
1290,MS Valley St,Mississippi Valley St.,Mississippi Valley St.,NA,
1291,Mt St Mary's,Mount St. Mary's,Mount St. Mary's,NA,
1292,MTSU,Middle Tennessee St.,Middle Tennessee St.,NA,
1292,MTSU,Middle Tennessee,Middle Tennessee,NA,
1293,Murray St,Murray St.,Murray St.,NA,
1294,N Colorado,Northern Colorado,Northern Colorado,NA,
1295,N Dakota St,North Dakota St.,North Dakota St.,NA,
1296,N Illinois,Northern Illinois,Northern Illinois,NA,
1297,N Kentucky,Northern Kentucky,Northern Kentucky,NA,
1298,Navy,Navy,Navy,NA,
1299,NC A&T,North Carolina A&T,North Carolina A&T,NA,
1300,NC Central,North Carolina Central,North Carolina Central,NA,
1301,NC State,North Carolina St.,North Carolina State University,NA,
1301,NC State,NC State,North Carolina State,NA,
1302,NE Illinois,NE Illinois,NE Illinois,NA,
1303,NE Omaha,Nebraska Omaha,Nebraska Omaha,NA,
1304,Nebraska,Nebraska,Nebraska,NA,
1305,Nevada,Nevada,Nevada,NA,
1305,Nevada,Nevada,"University of Nevada, Reno",NA,
1306,New Hampshire,New Hampshire,New Hampshire,NA,
1307,New Mexico,New Mexico,New Mexico,NA,
1307,New Mexico,New Mexico,University of New Mexico,NA,
1308,New Mexico St,New Mexico St.,New Mexico State,NA,
1309,New Orleans,New Orleans,New Orleans,NA,
1310,Niagara,Niagara,Niagara,NA,
1311,Nicholls St,Nicholls St.,Nicholls St.,NA,
1312,NJIT,NJIT,NJIT,NA,
1313,Norfolk St,Norfolk St.,Norfolk St.,NA,
1314,North Carolina,North Carolina,North Carolina,NA,
1314,North Carolina,North Carolina,University of North Carolina,NA,
1315,North Dakota,North Dakota,North Dakota,NA,
1316,North Florida,North Florida,North Florida,NA,
1317,North Texas,North Texas,North Texas,NA,
1317,North Texas,North Texas,University of North Texas,NA,
1318,Northeastern,Northeastern,Northeastern,NA,
1319,Northern Arizona,Northern Arizona,Northern Arizona,NA,
1320,Northern Iowa,Northern Iowa,Northern Iowa,NA,
1321,Northwestern,Northwestern,Northwestern,NA,
1322,Northwestern LA,Northwestern St.,Northwestern St.,NA,
1323,Notre Dame,Notre Dame,Notre Dame,NA,
1323,Notre Dame,Notre Dame,University of Notre Dame,NA,
1324,Oakland,Oakland,Oakland,NA,
1325,Ohio,Ohio,Ohio,NA,
1326,Ohio St,Ohio St.,Ohio State University,NA,
1326,Ohio St,Ohio St,Ohio State,NA,
1327,Okla City,Okla City,Okla City,NA,
1328,Oklahoma,Oklahoma,Oklahoma,NA,
1328,Oklahoma,Oklahoma,University of Oklahoma,NA,
1329,Oklahoma St,Oklahoma St.,Oklahoma State University,NA,
1329,Oklahoma St,Oklahoma St,Oklahoma State,NA,
1330,Old Dominion,Old Dominion,Old Dominion,NA,
1331,Oral Roberts,Oral Roberts,Oral Roberts,NA,
1332,Oregon,Oregon,Oregon,NA,
1332,Oregon,Oregon,University of Oregon,NA,
1333,Oregon St,Oregon St.,Oregon State,NA,
1334,Pacific,Pacific,Pacific,NA,
1335,Penn,Penn,Penn,NA,
1336,Penn St,Penn St.,Penn State,NA,
1337,Pepperdine,Pepperdine,Pepperdine,NA,
1338,Pittsburgh,Pittsburgh,Pittsburgh,NA,
1338,Pittsburgh,Pittsburgh,University of Pittsburgh,NA,
1339,Portland,Portland,Portland,NA,
1340,Portland St,Portland St.,Portland State,NA,
1341,Prairie View,Prairie View A&M,Prairie View A&M,NA,
1342,Presbyterian,Presbyterian,Presbyterian,NA,
1343,Princeton,Princeton,Princeton,NA,
1344,Providence,Providence,Providence,NA,
1344,Providence,Providence,Providence College,NA,
1345,Purdue,Purdue,Purdue,NA,
1345,Purdue,Purdue,Purdue University,NA,
1346,Quinnipiac,Quinnipiac,Quinnipiac,NA,
1347,Radford,Radford,Radford,NA,
1348,Rhode Island,Rhode Island,Rhode Island,NA,
1349,Rice,Rice,Rice,NA,
1350,Richmond,Richmond,Richmond,NA,
1351,Rider,Rider,Rider,NA,
1352,Robert Morris,Robert Morris,Robert Morris,NA,
1353,Rutgers,Rutgers,Rutgers,NA,
1353,Rutgers,Rutgers,Rutgers University,NA,
1354,S Carolina St,South Carolina St.,South Carolina St.,NA,
1355,S Dakota St,South Dakota St.,South Dakota St.,NA,
1356,S Illinois,Southern Illinois,Southern Illinois,NA,
1357,Sacred Heart,Sacred Heart,Sacred Heart,NA,
1358,Sam Houston St,Sam Houston St.,Sam Houston State,NA,
1359,Samford,Samford,Samford,NA,
1360,San Diego,San Diego,San Diego State University,NA,
1361,San Diego St,San Diego St.,San Diego State,NA,
1362,San Francisco,San Francisco,San Francisco,NA,
1363,San Jose St,San Jose St.,San Jose State,NA,
1364,Santa Barbara,UC Santa Barbara,UC Santa Barbara,NA,
1365,Santa Clara,Santa Clara,Santa Clara,NA,
1366,Savannah St,Savannah St.,Savannah St.,NA,
1367,SC Upstate,USC Upstate,USC Upstate,NA,
1368,SE Louisiana,Southeastern Louisiana,Southeastern Louisiana,NA,
1369,SE Missouri St,Southeast Missouri St.,Southeast Missouri State,NA,
1370,Seattle,Seattle,Seattle,NA,
1371,Seton Hall,Seton Hall,Seton Hall,NA,
1371,Seton Hall,Seton Hall,Seton Hall University,NA,
1372,SF Austin,Stephen F. Austin,Stephen F. Austin,NA,
1373,Siena,Siena,Siena,NA,
1374,SMU,SMU,Southern Methodist,NA,
1375,South Alabama,South Alabama,South Alabama,NA,
1376,South Carolina,South Carolina,South Carolina,NA,
1376,South Carolina,South Carolina,University of South Carolina,NA,
1377,South Dakota,South Dakota,South Dakota,NA,
1378,South Florida,South Florida,South Florida,NA,
1379,Southern Miss,Southern Miss,Southern Mississippi,NA,
1380,Southern Univ,Southern,Southern,NA,
1381,Southern Utah,Southern Utah,Southern Utah,NA,
1382,St Bonaventure,St. Bonaventure,St. Bonaventure,NA,
1383,St Francis NY,St. Francis NY,St. Francis NY,NA,
1384,St Francis PA,St. Francis PA,St. Francis PA,NA,
1385,St John's,St. John's,St. John's University,NA,
1385,St John's,St John's,St. John's (NY),NA,
1386,St Joseph's PA,Saint Joseph's,Saint Joseph's,NA,
1387,St Louis,Saint Louis,Saint Louis,NA,
1388,St Mary's CA,Saint Mary's,Saint Mary's,NA,
1389,St Peter's,Saint Peter's,Saint Peter's,NA,
1390,Stanford,Stanford,Stanford,NA,
1390,Stanford,Stanford,Stanford University,NA,
1391,Stetson,Stetson,Stetson,NA,
1392,Stony Brook,Stony Brook,Stony Brook,NA,
1393,Syracuse,Syracuse,Syracuse,NA,
1393,Syracuse,Syracuse,Syracuse University,NA,
1394,TAM C. Christi,Texas A&M Corpus Chris,Texas A&M Corpus Chris,NA,
1395,TCU,TCU,Texas Christian,NA,
1396,Temple,Temple,Temple,NA,
1397,Tennessee,Tennessee,Tennessee,NA,
1397,Tennessee,Tennessee,University of Tennessee,NA,
1398,Tennessee St,Tennessee St.,Tennessee State,NA,
1399,Tennessee Tech,Tennessee Tech,Tennessee Tech,NA,
1400,Texas,Texas,Texas,NA,
1400,Texas,Texas,University of Texas at Austin,NA,
1401,Texas A&M,Texas A&M,Texas A&M,NA,
1401,Texas A&M,Texas A&M,Texas A&M University,NA,
1402,Texas St,Texas St.,Texas State,NA,
1402,Texas St,Southwest Texas St.,Southwest Texas St.,NA,
1403,Texas Tech,Texas Tech,Texas Tech,NA,
1404,TN Martin,Tennessee Martin,Tennessee-Martin,NA,
1405,Toledo,Toledo,Toledo,NA,
1406,Towson,Towson,Towson,NA,
1407,Troy,Troy,Troy,NA,
1407,Troy,Troy St.,Troy St.,NA,
1408,Tulane,Tulane,Tulane,NA,
1409,Tulsa,Tulsa,Tulsa,NA,
1410,UTRGV,UT Rio Grande Valley,UT Rio Grande Valley,NA,
1410,UTRGV,Texas Pan American,Texas Pan American,NA,
1411,TX Southern,Texas Southern,Texas Southern,NA,
1412,UAB,UAB,Alabama-Birmingham,NA,
1412,UAB,UAB,University of Alabama at Birmingham,NA,
1413,UC Davis,UC Davis,UC Davis,NA,
1414,UC Irvine,UC Irvine,California-Irvine,NA,
1415,UC Riverside,UC Riverside,UC Riverside,NA,
1416,UCF,UCF,Central Florida,NA,
1417,UCLA,UCLA,UCLA,NA,
1417,UCLA,UCLA,"University of California, Los Angeles",NA,
1418,ULL,Louisiana Lafayette,University of Louisiana at Lafayette,NA,
1419,ULM,Louisiana Monroe,Louisiana Monroe,NA,
1420,UMBC,UMBC,UMBC,NA,
1421,UNC Asheville,UNC Asheville,UNC Asheville,NA,
1422,UNC Greensboro,UNC Greensboro,North Carolina-Greensboro,NA,
1423,UNC Wilmington,UNC Wilmington,UNC Wilmington,NA,
1424,UNLV,UNLV,Nevada-Las Vegas,NA,
1424,UNLV,UNLV,"University of Nevada, Las Vegas",NA,
1425,USC,USC,Southern California,NA,
1425,USC,USC,University of Southern California,NA,
1426,UT Arlington,UT Arlington,UT Arlington,NA,
1427,UT San Antonio,UTSA,UTSA,NA,
1428,Utah,Utah,Utah,NA,
1429,Utah St,Utah St.,Utah St.,NA,
1430,Utah Valley,Utah Valley,Utah Valley,NA,
1431,UTEP,UTEP,University of Texas at El Paso,NA,
1432,Utica,Utica,Utica,NA,
1433,VA Commonwealth,VCU,Virginia Commonwealth,NA,
1434,Valparaiso,Valparaiso,Valparaiso,NA,
1435,Vanderbilt,Vanderbilt,Vanderbilt,NA,
1435,Vanderbilt,Vanderbilt,Vanderbilt University,NA,Utah Valley St.
1436,Vermont,Vermont,Vermont,NA,
1437,Villanova,Villanova,Villanova,NA,
1437,Villanova,Villanova,Villanova University,NA,
1438,Virginia,Virginia,Virginia,NA,
1438,Virginia,Virginia,University of Virginia,NA,
1439,Virginia Tech,Virginia Tech,Virginia Tech,NA,
1439,Virginia Tech,Virginia Tech,Virginia Polytechnic Institute and State University,NA,
1440,VMI,VMI,VMI,NA,
1441,W Carolina,Western Carolina,Western Carolina,NA,
1442,W Illinois,Western Illinois,Western Illinois,NA,
1443,WKU,Western Kentucky,Western Kentucky,NA,
1444,W Michigan,Western Michigan,Western Michigan,NA,
1445,W Salem St,Winston Salem St.,Winston Salem St.,NA,
1446,W Texas A&M,W Texas A&M,W Texas A&M,NA,
1447,Wagner,Wagner,Wagner,NA,
1448,Wake Forest,Wake Forest,Wake Forest,NA,
1448,Wake Forest,Wake Forest,Wake Forest University,NA,
1449,Washington,Washington,Washington,NA,
1449,Washington,Washington,University of Washington,NA,
1450,Washington St,Washington St.,Washington State University,NA,
1451,Weber St,Weber St.,Weber St.,NA,
1452,West Virginia,West Virginia,West Virginia,NA,
1452,West Virginia,West Virginia,West Virginia University,NA,
1453,WI Green Bay,Green Bay,Green Bay,NA,
1454,WI Milwaukee,Milwaukee,Milwaukee,NA,
1455,Wichita St,Wichita St.,Wichita St.,NA,
1456,William & Mary,William & Mary,William & Mary,NA,
1457,Winthrop,Winthrop,Winthrop,NA,
1458,Wisconsin,Wisconsin,Wisconsin,NA,
1458,Wisconsin,Wisconsin,University of Wisconsin,NA,
1459,Wofford,Wofford,Wofford,NA,
1460,Wright St,Wright St.,Wright St.,NA,
1461,Wyoming,Wyoming,Wyoming,NA,
1462,Xavier,Xavier,Xavier,NA,
1462,Xavier,Xavier,Xavier University,NA,
1463,Yale,Yale,Yale,NA,
1464,Youngstown St,Youngstown St.,Youngstown St.,NA,
